Location,Suburb,Postcode,State,Zone
ALBANVALE 3021,Albanvale,3021,Victoria,Melbourne
ALBANY CREEK 4035,Albany Creek,4035,Queensland,Brisbane
ALBERT PARK 3206,Albert Park,3206,Victoria,Melbourne
ALBERT PARK 5014,Albert Park,5014,South Australia,Adelaide
ALBERTON 4207,Alberton,4207,Queensland,Brisbane
ALBERTON 5014,Alberton,5014,South Australia,Adelaide
ALBION 3020,Albion,3020,Victoria,Melbourne
ALBION 4010,Albion,4010,Queensland,Brisbane
ALBION BC 4010,Albion BC,4010,Queensland,Brisbane
ALBION DC 4010,Albion DC,4010,Queensland,Brisbane
ALBION PARK 2527,Albion Park,2527,New South Wales,Wollongong
ALBION PARK RAIL 2527,Albion Park Rail,2527,New South Wales,Wollongong
ALBURY 2640,Albury,2640,New South Wales,Albury
ALDERLEY 4051,Alderley,4051,Queensland,Brisbane
ALDERSHOT 4650,Aldershot,4650,Queensland,Wide Bay
ALDGATE 5154,Aldgate,5154,South Australia,Adelaide
ALDINGA 5173,Aldinga,5173,South Australia,Adelaide
ALDINGA BEACH 5173,Aldinga Beach,5173,South Australia,Adelaide
ALEXANDER HEIGHTS 6064,Alexander Heights,6064,Western Australia,Perth
ALEXANDRA 4740,Alexandra,4740,Queensland,Mackay
ALEXANDRA HEADLAND 4572,Alexandra Headland,4572,Queensland,Sunshine Coast
ALEXANDRA HILLS 4161,Alexandra Hills,4161,Queensland,Brisbane
ALEXANDRIA 2015,Alexandria,2015,New South Wales,Sydney
ALEXANDRIA MC 2004,Alexandria Mc,2004,New South Wales,Sydney
ALFORDS POINT 2234,Alfords Point,2234,New South Wales,Sydney
ALFRED COVE 6154,Alfred Cove,6154,Western Australia,Perth
ALFREDTON 3350,Alfredton,3350,Victoria,Geelong
ALGESTER 4115,Algester,4115,Queensland,Brisbane
ALICE RIVER 4817,Alice River,4817,Queensland,Townsville
ALISON 2259,Alison,2259,New South Wales,Central Coast
ALKIMOS 6038,Alkimos,6038,Western Australia,Perth
ALLAMBIE HEIGHTS 2100,Allambie Heights,2100,New South Wales,Sydney
ALLANDALE 2320,Allandale,2320,New South Wales,Newcastle
ALLAWAH 2218,Allawah,2218,New South Wales,Sydney
ALLENBY GARDENS 5009,Allenby Gardens,5009,South Australia,Adelaide
ALLENSTOWN 4700,Allenstown,4700,Queensland,Capricorn Coast
ALLIGATOR CREEK 4740,Alligator Creek,4740,Queensland,Mackay
ALLIGATOR CREEK 4816,Alligator Creek,4816,Queensland,Townsville
ALLORA 4362,Allora,4362,Queensland,Toowoomba
ALLOWAY 4670,Alloway,4670,Queensland,Wide Bay
ALOOMBA 4871,Aloomba,4871,Queensland,Cairns
ALPHINGTON 3078,Alphington,3078,Victoria,Melbourne
ALPINE 2575,Alpine,2575,New South Wales,Wollongong
ALSTONVILLE 2477,Alstonville,2477,New South Wales,Northern Rivers
ALTONA 3018,Altona,3018,Victoria,Melbourne
ALTONA 5351,Altona,5351,South Australia,Adelaide
ALTONA EAST 3025,Altona East,3025,Victoria,Melbourne
ALTONA GATE 3025,Altona Gate,3025,Victoria,Melbourne
ALTONA MEADOWS 3028,Altona Meadows,3028,Victoria,Melbourne
ALTONA NORTH 3025,Altona North,3025,Victoria,Melbourne
AMAROO 2914,Amaroo,2914,Australian Capital Territory,Canberra
AMBARVALE 2560,Ambarvale,2560,New South Wales,Sydney
AMBERLEY 4306,Amberley,4306,Queensland,Brisbane
AMBLESIDE 7310,Ambleside,7310,Tasmania,Launceston
AMIENS 4380,Amiens,4380,Queensland,Toowoomba
ANAKIE 3213,Anakie,3213,Victoria,Geelong
ANAMBAH 2320,Anambah,2320,New South Wales,Newcastle
ANDERGROVE 4740,Andergrove,4740,Queensland,Mackay
ANDREWS FARM 5114,Andrews Farm,5114,South Australia,Adelaide
ANDROMACHE 4800,Andromache,4800,Queensland,Mackay
ANGASTON 5353,Angaston,5353,South Australia,Adelaide
ANGLE PARK 5010,Angle Park,5010,South Australia,Adelaide
ANGLE VALE 5117,Angle Vale,5117,South Australia,Adelaide
ANGLESEA 3230,Anglesea,3230,Victoria,Geelong
ANGOURIE 2464,Angourie,2464,New South Wales,Northern Rivers
ANKETELL 6167,Anketell,6167,Western Australia,Perth
ANNA BAY 2316,Anna Bay,2316,New South Wales,Newcastle
ANNANDALE 2038,Annandale,2038,New South Wales,Sydney
ANNANDALE 4814,Annandale,4814,Queensland,Townsville
ANNANGROVE 2156,Annangrove,2156,New South Wales,Sydney
ANNERLEY 4103,Annerley,4103,Queensland,Brisbane
ANSTEAD 4070,Anstead,4070,Queensland,Brisbane
ANULA 0812,Anula,0812,Northern Territory,Remote
APOLLO BAY 3233,Apollo Bay,3233,Victoria,Geelong
APPLE TREE CREEK 4660,Apple Tree Creek,4660,Queensland,Wide Bay
APPLECROSS 6153,Applecross,6153,Western Australia,Perth
APPLECROSS NORTH 6153,Applecross North,6153,Western Australia,Perth
APPLETHORPE 4378,Applethorpe,4378,Queensland,Toowoomba
ARANA HILLS 4054,Arana Hills,4054,Queensland,Brisbane
ARANDA 2614,Aranda,2614,Australian Capital Territory,Canberra
ARCADIA 2159,Arcadia,2159,New South Wales,Sydney
ARCADIA VALE 2283,Arcadia Vale,2283,New South Wales,Newcastle
ARCHER 0830,Archer,0830,Northern Territory,Remote
ARCHERFIELD 4108,Archerfield,4108,Queensland,Brisbane
ARCHERFIELD BC 4108,Archerfield BC,4108,Queensland,Brisbane
ARDEER 3022,Ardeer,3022,Victoria,Melbourne
ARDMONA 3629,Ardmona,3629,Victoria,Bendigo
ARDROSS 6153,Ardross,6153,Western Australia,Perth
ARGENTON 2284,Argenton,2284,New South Wales,Newcastle
ARGYLE 3523,Argyle,3523,Victoria,Bendigo
ARMADALE 3143,Armadale,3143,Victoria,Melbourne
ARMADALE 6112,Armadale,6112,Western Australia,Perth
ARMADALE NORTH 3143,Armadale North,3143,Victoria,Melbourne
ARMIDALE 2350,Armidale,2350,New South Wales,Remote
ARMSTRONG 3377,Armstrong,3377,Victoria,Geelong
ARMSTRONG BEACH 4737,Armstrong Beach,4737,Queensland,Mackay
ARMSTRONG CREEK 3217,Armstrong Creek,3217,Victoria,Geelong
ARNCLIFFE 2205,Arncliffe,2205,New South Wales,Sydney
ARNDELL PARK 2148,Arndell Park,2148,New South Wales,Sydney
AROONA 4551,Aroona,4551,Queensland,Sunshine Coast
ARRAWARRA 2456,Arrawarra,2456,New South Wales,Coffs Harbour
ARRAWARRA HEADLAND 2456,Arrawarra Headland,2456,New South Wales,Coffs Harbour
ARTARMON 2064,Artarmon,2064,New South Wales,Sydney
ARTHURS SEAT 3936,Arthurs Seat,3936,Victoria,Melbourne
ARUNDEL 4214,Arundel,4214,Queensland,Gold Coast
ARUNDEL BC 4214,Arundel Bc,4214,Queensland,Gold Coast
ARUNDEL DC 4214,Arundel Dc,4214,Queensland,Gold Coast
ASCOT 3364,Ascot,3364,Victoria,Geelong
ASCOT 3551,Ascot,3551,Victoria,Bendigo
ASCOT 4007,Ascot,4007,Queensland,Brisbane
ASCOT 6104,Ascot,6104,Western Australia,Perth
ASCOT PARK 5043,Ascot Park,5043,South Australia,Adelaide
ASCOT VALE 3032,Ascot Vale,3032,Victoria,Melbourne
ASHBURTON 3147,Ashburton,3147,Victoria,Melbourne
ASHBURY 2193,Ashbury,2193,New South Wales,Sydney
ASHBY 6065,Ashby,6065,Western Australia,Perth
ASHCROFT 2168,Ashcroft,2168,New South Wales,Sydney
ASHFIELD 2131,Ashfield,2131,New South Wales,Sydney
ASHFIELD 4670,Ashfield,4670,Queensland,Wide Bay
ASHFIELD 6054,Ashfield,6054,Western Australia,Perth
ASHFORD 5035,Ashford,5035,South Australia,Adelaide
ASHGROVE 4060,Ashgrove,4060,Queensland,Brisbane
ASHGROVE EAST 4060,Ashgrove East,4060,Queensland,Brisbane
ASHMONT 2650,Ashmont,2650,New South Wales,Albury
ASHMORE 4214,Ashmore,4214,Queensland,Gold Coast
ASHMORE CITY 4214,Ashmore City,4214,Queensland,Gold Coast
ASHTONFIELD 2323,Ashtonfield,2323,New South Wales,Newcastle
ASHWOOD 3147,Ashwood,3147,Victoria,Melbourne
ASPENDALE 3195,Aspendale,3195,Victoria,Melbourne
ASPENDALE GARDENS 3195,Aspendale Gardens,3195,Victoria,Melbourne
ASPLEY 4034,Aspley,4034,Queensland,Brisbane
ASQUITH 2077,Asquith,2077,New South Wales,Sydney
ATHELSTONE 5076,Athelstone,5076,South Australia,Adelaide
ATHERTON 4883,Atherton,4883,Queensland,Cairns
ATHOL 4350,Athol,4350,Queensland,Toowoomba
ATHOL PARK 5012,Athol Park,5012,South Australia,Adelaide
ATTADALE 6156,Attadale,6156,Western Australia,Perth
ATTWOOD 3049,Attwood,3049,Victoria,Melbourne
ATWELL 6164,Atwell,6164,Western Australia,Perth
AUBIGNY 4401,Aubigny,4401,Queensland,Toowoomba
AUBIN GROVE 6164,Aubin Grove,6164,Western Australia,Perth
AUBURN 2144,Auburn,2144,New South Wales,Sydney
AUBURN 3123,Auburn,3123,Victoria,Melbourne
AUBURN SOUTH 3122,Auburn South,3122,Victoria,Melbourne
AUCHENFLOWER 4066,Auchenflower,4066,Queensland,Brisbane
AUGUSTINE HEIGHTS 4300,Augustine Heights,4300,Queensland,Brisbane
AULDANA 5072,Auldana,5072,South Australia,Adelaide
AUSTINMER 2515,Austinmer,2515,New South Wales,Wollongong
AUSTINS FERRY 7011,Austins Ferry,7011,Tasmania,Hobart
AUSTINVILLE 4213,Austinville,4213,Queensland,Gold Coast
AUSTRAL 2179,Austral,2179,New South Wales,Sydney
AUSTRALIA FAIR 4215,Australia Fair,4215,Queensland,Gold Coast
AVALON 3212,Avalon,3212,Victoria,Geelong
AVALON BEACH 2107,Avalon Beach,2107,New South Wales,Sydney
AVELEY 6069,Aveley,6069,Western Australia,Perth
AVENELL HEIGHTS 4670,Avenell Heights,4670,Queensland,Wide Bay
AVOCA 4670,Avoca,4670,Queensland,Wide Bay
AVOCA BEACH 2251,Avoca Beach,2251,New South Wales,Central Coast
AVONDALE 2530,Avondale,2530,New South Wales,Wollongong
AVONDALE HEIGHTS 3034,Avondale Heights,3034,Victoria,Melbourne
AVONMORE 3559,Avonmore,3559,Victoria,Bendigo
AWABA 2283,Awaba,2283,New South Wales,Newcastle
AXE CREEK 3551,Axe Creek,3551,Victoria,Bendigo
AXEDALE 3551,Axedale,3551,Victoria,Bendigo
AYLMERTON 2575,Aylmerton,2575,New South Wales,Wollongong
AYR 4807,Ayr,4807,Queensland,Townsville
BABINDA 4861,Babinda,4861,Queensland,Cairns
BACCHUS MARSH 3340,Bacchus Marsh,3340,Victoria,Melbourne
BADGERYS CREEK 2555,Badgerys Creek,2555,New South Wales,Sydney
BAGO 2446,Bago,2446,New South Wales,Port Macquarie
BAGSHOT 3551,Bagshot,3551,Victoria,Bendigo
BAGSHOT NORTH 3551,Bagshot North,3551,Victoria,Bendigo
BAHRS SCRUB 4207,Bahrs Scrub,4207,Queensland,Brisbane
BAJOOL 4699,Bajool,4699,Queensland,Capricorn Coast
BAKERS CREEK 4740,Bakers Creek,4740,Queensland,Mackay
BAKERY HILL 3350,Bakery Hill,3350,Victoria,Geelong
BAKEWELL 0832,Bakewell,0832,Northern Territory,Remote
BALACLAVA 3183,Balaclava,3183,Victoria,Melbourne
BALCATTA 6021,Balcatta,6021,Western Australia,Perth
BALCOLYN 2264,Balcolyn,2264,New South Wales,Newcastle
BALD HILLS 4036,Bald Hills,4036,Queensland,Brisbane
BALD KNOB 4552,Bald Knob,4552,Queensland,Sunshine Coast
BALDIVIS 6171,Baldivis,6171,Western Australia,Perth
BALGA 6061,Balga,6061,Western Australia,Perth
BALGAL BEACH 4816,Balgal Beach,4816,Queensland,Townsville
BALGOWLAH 2093,Balgowlah,2093,New South Wales,Sydney
BALGOWLAH HEIGHTS 2093,Balgowlah Heights,2093,New South Wales,Sydney
BALGOWNIE 2519,Balgownie,2519,New South Wales,Wollongong
BALHANNAH 5242,Balhannah,5242,South Australia,Adelaide
BALL BAY 4741,Ball Bay,4741,Queensland,Mackay
BALLAJURA 6066,Ballajura,6066,Western Australia,Perth
BALLANDEAN 4382,Ballandean,4382,Queensland,Toowoomba
BALLARAT 3350,Ballarat,3350,Victoria,Geelong
BALLARAT 3353,Ballarat,3353,Victoria,Geelong
BALLARAT CENTRAL 3350,Ballarat Central,3350,Victoria,Geelong
BALLARAT EAST 3350,Ballarat East,3350,Victoria,Geelong
BALLARAT MC 3354,Ballarat Mc,3354,Victoria,Geelong
BALLARAT NORTH 3350,Ballarat North,3350,Victoria,Geelong
BALLARAT WEST 3350,Ballarat West,3350,Victoria,Geelong
BALLARD 4352,Ballard,4352,Queensland,Toowoomba
BALLINA 2478,Ballina,2478,New South Wales,Northern Rivers
BALMAIN 2041,Balmain,2041,New South Wales,Sydney
BALMAIN EAST 2041,Balmain East,2041,New South Wales,Sydney
BALMORAL 2283,Balmoral,2283,New South Wales,Newcastle
BALMORAL 4171,Balmoral,4171,Queensland,Brisbane
BALMORAL RIDGE 4552,Balmoral Ridge,4552,Queensland,Sunshine Coast
BALNARRING 3926,Balnarring,3926,Victoria,Melbourne
BALNARRING BEACH 3926,Balnarring Beach,3926,Victoria,Melbourne
BALWYN 3103,Balwyn,3103,Victoria,Melbourne
BALWYN EAST 3103,Balwyn East,3103,Victoria,Melbourne
BALWYN NORTH 3104,Balwyn North,3104,Victoria,Melbourne
BAMBAROO 4850,Bambaroo,4850,Queensland,Townsville
BANDIANA 3691,Bandiana,3691,Victoria,Albury
BANDIANA MILPO 3694,Bandiana Milpo,3694,Victoria,Albury
BANGALEE 2541,Bangalee,2541,New South Wales,Wollongong
BANGALEE 4703,Bangalee,4703,Queensland,Capricorn Coast
BANGALOW 2479,Bangalow,2479,New South Wales,Northern Rivers
BANGHOLME 3175,Bangholme,3175,Victoria,Melbourne
BANGOR 2234,Bangor,2234,New South Wales,Sydney
BANJUP 6164,Banjup,6164,Western Australia,Perth
BANKS 2906,Banks,2906,Australian Capital Territory,Canberra
BANKSIA 2216,Banksia,2216,New South Wales,Sydney
BANKSIA BEACH 4507,Banksia Beach,4507,Queensland,Brisbane
BANKSIA GROVE 6031,Banksia Grove,6031,Western Australia,Perth
BANKSIA PARK 5091,Banksia Park,5091,South Australia,Adelaide
BANKSMEADOW 2019,Banksmeadow,2019,New South Wales,Sydney
BANKSTOWN 2200,Bankstown,2200,New South Wales,Sydney
BANKSTOWN AERODROME 2200,Bankstown Aerodrome,2200,New South Wales,Sydney
BANKSTOWN NORTH 2200,Bankstown North,2200,New South Wales,Sydney
BANKSTOWN SQUARE 2200,Bankstown Square,2200,New South Wales,Sydney
BANNOCKBURN 3331,Bannockburn,3331,Victoria,Geelong
BANORA POINT 2486,Banora Point,2486,New South Wales,Gold Coast
BANYO 4014,Banyo,4014,Queensland,Brisbane
BANYULE 3084,Banyule,3084,Victoria,Melbourne
BAR BEACH 2300,Bar Beach,2300,New South Wales,Newcastle
BARANDUDA 3691,Baranduda,3691,Victoria,Albury
BARANGAROO 2000,Barangaroo,2000,New South Wales,Sydney
BARDEN RIDGE 2234,Barden Ridge,2234,New South Wales,Sydney
BARDIA 2565,Bardia,2565,New South Wales,Sydney
BARDON 4065,Bardon,4065,Queensland,Brisbane
BARDWELL PARK 2207,Bardwell Park,2207,New South Wales,Sydney
BARDWELL VALLEY 2207,Bardwell Valley,2207,New South Wales,Sydney
BAREENA 3220,Bareena,3220,Victoria,Geelong
BARELLAN POINT 4306,Barellan Point,4306,Queensland,Brisbane
BARFOLD 3444,Barfold,3444,Victoria,Bendigo
BARGARA 4670,Bargara,4670,Queensland,Wide Bay
BARGO 2574,Bargo,2574,New South Wales,Wollongong
BARKERS CREEK 3451,Barkers Creek,3451,Victoria,Bendigo
BARLOWS HILL 4703,Barlows Hill,4703,Queensland,Capricorn Coast
BARMARYEE 4703,Barmaryee,4703,Queensland,Capricorn Coast
BARNADOWN 3557,Barnadown,3557,Victoria,Bendigo
BARNAWARTHA 3688,Barnawartha,3688,Victoria,Albury
BARNAWARTHA NORTH 3691,Barnawartha North,3691,Victoria,Albury
BARNEY POINT 4680,Barney Point,4680,Queensland,Capricorn Coast
BARNEY VIEW 4287,Barney View,4287,Queensland,Remote
BARNSLEY 2278,Barnsley,2278,New South Wales,Newcastle
BARRABOOL 3221,Barrabool,3221,Victoria,Geelong
BARRACK HEIGHTS 2528,Barrack Heights,2528,New South Wales,Wollongong
BARRACK POINT 2528,Barrack Point,2528,New South Wales,Wollongong
BARRAGUP 6209,Barragup,6209,Western Australia,Perth
BARRINGTON 7306,Barrington,7306,Tasmania,Launceston
BARRON 4878,Barron,4878,Queensland,Cairns
BARRON GORGE 4870,Barron Gorge,4870,Queensland,Cairns
BARTON 2600,Barton,2600,Australian Capital Territory,Canberra
BARWON HEADS 3227,Barwon Heads,3227,Victoria,Geelong
BASIN POCKET 4305,Basin Pocket,4305,Queensland,Brisbane
BASS HILL 2197,Bass Hill,2197,New South Wales,Sydney
BASSENDEAN 6054,Bassendean,6054,Western Australia,Perth
BATEAU BAY 2261,Bateau Bay,2261,New South Wales,Central Coast
BATEMAN 6150,Bateman,6150,Western Australia,Perth
BATHURST 2795,Bathurst,2795,New South Wales,Remote
BATMAN 3058,Batman,3058,Victoria,Melbourne
BATTERY HILL 4551,Battery Hill,4551,Queensland,Sunshine Coast
BATTERY POINT 7004,Battery Point,7004,Tasmania,Hobart
BAULKHAM HILLS 2153,Baulkham Hills,2153,New South Wales,Sydney
BAXTER 3911,Baxter,3911,Victoria,Melbourne
BAY VILLAGE 2261,Bay Village,2261,New South Wales,Central Coast
BAYNTON 3444,Baynton,3444,Victoria,Bendigo
BAYNTON EAST 3444,Baynton East,3444,Victoria,Bendigo
BAYSWATER 3153,Bayswater,3153,Victoria,Melbourne
BAYSWATER 6053,Bayswater,6053,Western Australia,Perth
BAYSWATER NORTH 3153,Bayswater North,3153,Victoria,Melbourne
BAYVIEW 0820,Bayview,0820,Northern Territory,Remote
BAYVIEW 2104,Bayview,2104,New South Wales,Sydney
BAYVIEW HEIGHTS 4868,Bayview Heights,4868,Queensland,Cairns
BEACH HOLM 4818,Beach Holm,4818,Queensland,Townsville
BEACHMERE 4510,Beachmere,4510,Queensland,Brisbane
BEACON HILL 2100,Beacon Hill,2100,New South Wales,Sydney
BEACONSFIELD 2015,Beaconsfield,2015,New South Wales,Sydney
BEACONSFIELD 3807,Beaconsfield,3807,Victoria,Melbourne
BEACONSFIELD 4740,Beaconsfield,4740,Queensland,Mackay
BEACONSFIELD 6162,Beaconsfield,6162,Western Australia,Perth
BEACONSFIELD 7270,Beaconsfield,7270,Tasmania,Launceston
BEARD 2620,Beard,2620,Australian Capital Territory,Canberra
BEAUDESERT 4285,Beaudesert,4285,Queensland,Brisbane
BEAUMARIS 3193,Beaumaris,3193,Victoria,Melbourne
BEAUMONT 5066,Beaumont,5066,South Australia,Adelaide
BEAUMONT HILLS 2155,Beaumont Hills,2155,New South Wales,Sydney
BEAUTY POINT 7270,Beauty Point,7270,Tasmania,Launceston
BECKENHAM 6107,Beckenham,6107,Western Australia,Perth
BEDFORD 6052,Bedford,6052,Western Australia,Perth
BEDFORD PARK 5042,Bedford Park,5042,South Australia,Adelaide
BEEAC 3251,Beeac,3251,Victoria,Geelong
BEECHBORO 6063,Beechboro,6063,Western Australia,Perth
BEECHER 4680,Beecher,4680,Queensland,Capricorn Coast
BEECHWORTH 3747,Beechworth,3747,Victoria,Albury
BEECROFT 2119,Beecroft,2119,New South Wales,Sydney
BEELIAR 6164,Beeliar,6164,Western Australia,Perth
BEENLEIGH 4207,Beenleigh,4207,Queensland,Brisbane
BEERBURRUM 4517,Beerburrum,4517,Queensland,Sunshine Coast
BEERWAH 4519,Beerwah,4519,Queensland,Sunshine Coast
BELAIR 5052,Belair,5052,South Australia,Adelaide
BELCONNEN 2616,Belconnen,2616,Australian Capital Territory,Canberra
BELCONNEN 2617,Belconnen,2617,Australian Capital Territory,Canberra
BELCONNEN DC 2617,Belconnen DC,2617,Australian Capital Territory,Canberra
BELDON 6027,Beldon,6027,Western Australia,Perth
BELFIELD 2191,Belfield,2191,New South Wales,Sydney
BELFORD 2335,Belford,2335,New South Wales,Newcastle
BELGIAN GARDENS 4810,Belgian Gardens,4810,Queensland,Townsville
BELHUS 6069,Belhus,6069,Western Australia,Perth
BELL BAY 7253,Bell Bay,7253,Tasmania,Launceston
BELL PARK 3215,Bell Park,3215,Victoria,Geelong
BELL POST HILL 3215,Bell Post Hill,3215,Victoria,Geelong
BELLA VISTA 2153,Bella Vista,2153,New South Wales,Sydney
BELLAMACK 0832,Bellamack,0832,Northern Territory,Remote
BELLAMBI 2518,Bellambi,2518,New South Wales,Wollongong
BELLARA 4507,Bellara,4507,Queensland,Brisbane
BELLARINE 3223,Bellarine,3223,Victoria,Geelong
BELLBIRD 2325,Bellbird,2325,New South Wales,Newcastle
BELLBIRD HEIGHTS 2325,Bellbird Heights,2325,New South Wales,Newcastle
BELLBIRD PARK 4300,Bellbird Park,4300,Queensland,Brisbane
BELLBOWRIE 4070,Bellbowrie,4070,Queensland,Brisbane
BELLBRAE 3228,Bellbrae,3228,Victoria,Geelong
BELLENDEN KER 4871,Bellenden Ker,4871,Queensland,Cairns
BELLERIVE 7018,Bellerive,7018,Tasmania,Hobart
BELLEVUE 6056,Bellevue,6056,Western Australia,Perth
BELLEVUE HEIGHTS 5050,Bellevue Heights,5050,South Australia,Adelaide
BELLEVUE HILL 2023,Bellevue Hill,2023,New South Wales,Sydney
BELLFIELD 3081,Bellfield,3081,Victoria,Melbourne
BELLI PARK 4562,Belli Park,4562,Queensland,Sunshine Coast
BELLINGEN 2454,Bellingen,2454,New South Wales,Coffs Harbour
BELLMERE 4510,Bellmere,4510,Queensland,Brisbane
BELLS BEACH 3228,Bells Beach,3228,Victoria,Geelong
BELLS CREEK 4551,Bells Creek,4551,Queensland,Sunshine Coast
BELMONT 2280,Belmont,2280,New South Wales,Newcastle
BELMONT 3216,Belmont,3216,Victoria,Geelong
BELMONT 4153,Belmont,4153,Queensland,Brisbane
BELMONT 6104,Belmont,6104,Western Australia,Perth
BELMONT NORTH 2280,Belmont North,2280,New South Wales,Newcastle
BELMONT SOUTH 2280,Belmont South,2280,New South Wales,Newcastle
BELMORE 2192,Belmore,2192,New South Wales,Sydney
BELMUNDA 4740,Belmunda,4740,Queensland,Mackay
BELROSE 2085,Belrose,2085,New South Wales,Sydney
BELROSE WEST 2085,Belrose West,2085,New South Wales,Sydney
BELVEDERE 4860,Belvedere,4860,Queensland,Cairns
BENARABY 4680,Benaraby,4680,Queensland,Capricorn Coast
BENDIGO 3550,Bendigo,3550,Victoria,Bendigo
BENDIGO 3552,Bendigo,3552,Victoria,Bendigo
BENDIGO DC 3554,Bendigo Dc,3554,Victoria,Bendigo
BENDIGO SOUTH 3550,Bendigo South,3550,Victoria,Bendigo
BENGALLA 2333,Bengalla,2333,New South Wales,Newcastle
BENNETT SPRINGS 6063,Bennett Springs,6063,Western Australia,Perth
BENNETTS GREEN 2290,Bennetts Green,2290,New South Wales,Newcastle
BENNETTSWOOD 3125,Bennettswood,3125,Victoria,Melbourne
BENOBBLE 4275,Benobble,4275,Queensland,Gold Coast
BENOWA 4217,Benowa,4217,Queensland,Gold Coast
BENSVILLE 2251,Bensville,2251,New South Wales,Central Coast
BENTLEIGH 3204,Bentleigh,3204,Victoria,Melbourne
BENTLEIGH EAST 3165,Bentleigh East,3165,Victoria,Melbourne
BENTLEY 2480,Bentley,2480,New South Wales,Northern Rivers
BENTLEY 6102,Bentley,6102,Western Australia,Perth
BENTLEY DC 6102,Bentley DC,6102,Western Australia,Perth
BENTLEY PARK 4869,Bentley Park,4869,Queensland,Cairns
BENTLEY SOUTH 6102,Bentley South,6102,Western Australia,Perth
BERALA 2141,Berala,2141,New South Wales,Sydney
BERESFIELD 2322,Beresfield,2322,New South Wales,Newcastle
BERKELEY 2506,Berkeley,2506,New South Wales,Wollongong
BERKELEY VALE 2261,Berkeley Vale,2261,New South Wales,Central Coast
BERKSHIRE PARK 2765,Berkshire Park,2765,New South Wales,Sydney
BEROWRA 2081,Berowra,2081,New South Wales,Sydney
BEROWRA HEIGHTS 2082,Berowra Heights,2082,New South Wales,Sydney
BERRIEDALE 7011,Berriedale,7011,Tasmania,Hobart
BERRILEE 2159,Berrilee,2159,New South Wales,Sydney
BERRIMA 2577,Berrima,2577,New South Wales,Wollongong
BERRIMAH 0828,Berrimah,0828,Northern Territory,Remote
BERRINBA 4117,Berrinba,4117,Queensland,Brisbane
BERRY 2535,Berry,2535,New South Wales,Wollongong
BERSERKER 4701,Berserker,4701,Queensland,Capricorn Coast
BERTRAM 6167,Bertram,6167,Western Australia,Perth
BERWICK 3806,Berwick,3806,Victoria,Melbourne
BETHANIA 4205,Bethania,4205,Queensland,Brisbane
BETHANY 5352,Bethany,5352,South Australia,Adelaide
BEULAH PARK 5067,Beulah Park,5067,South Australia,Adelaide
BEVERLEY 5009,Beverley,5009,South Australia,Adelaide
BEVERLEY PARK 2217,Beverley Park,2217,New South Wales,Sydney
BEVERLY HILLS 2209,Beverly Hills,2209,New South Wales,Sydney
BEXHILL 2480,Bexhill,2480,New South Wales,Northern Rivers
BEXLEY 2207,Bexley,2207,New South Wales,Sydney
BEXLEY NORTH 2207,Bexley North,2207,New South Wales,Sydney
BEXLEY SOUTH 2207,Bexley South,2207,New South Wales,Sydney
BIBARINGA 5118,Bibaringa,5118,South Australia,Adelaide
