location_name,address,location_type,location_description,listing_title,listing_type,listing_description,listing_amenities,daily_price,weekly_price,monthly_price,folder_referrence
Castro,"Castro, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Solid camper,Campervan,"Solid camper. This thing stands up in harsh conditions, will not break down on you, and has amazing gas mileage. This is the RV you have been looking for!",(all),50,300,1100,27
Sunset,"Sunset, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Trailer with a hitch,Trailer,"This thing has a hitch for carrying a smaller vehicle. Great for taking long trips, accomodates at least 5 people, though 4 is probably the most comfortable. Love this thing!",(all),50,700,2800,28
Berkeley,"Berkeley, CA, United States",Private garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Motorhome,Motorhome,"Have owned this RV for many years. Family loves it, and we've taken alot of trips in it. Hasn't had much use over the most recent few years, so we decided it's better off to just rent it out!",(all),50,350,1100,29
Daly City,"Daly City, CA, United States",Private garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Enormous motorhome,Motorhome,"HUGE motorhome! This thing is a beast! It will take you where you want to go, and then some. Accomodates more people than you probably have in your group. Don't miss out on this awesome deal.",(all),75,700,2000,30
Daly City,"Daly City, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Simple motorhome,Motorhome,"Efficient motorhome, has great gas mileage, will fit a family of 4 easily. This thing hasn't been on the road for a number of years, and is ready to see some use. Take her for a spin!",(all),150,500,2000,31
Daly City,"Daly City, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Trailer,Trailer,"This trailer hooks up to a truck easily. Take this thing with you on long trips, or camping. You will be so glad when you have a warm bed to crawl into, and a roof over your head. This thing is great to own, but even better to rent!",(all),25,150,500,32
Oakland,"Oakland, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Giant motorhome for trips,Motorhome,"Giant motorhome. This thing might be difficult to drive, but it's a beautiful vehicle. The interior is to die for, and you will be living in the lap of luxury. I'm offering this for an amazing price, don't pass this up!",(all),15,100,400,33
Oakland,"Oakland, CA, United States",Public garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Camping trailer,Trailer,"This thing is awesome for camping. Has a retractable awning, and sets up very easily. Take it to the campground and get everything set up in minutes. Enjoy the rest of your trip with a roof over head.",(all),50,,2000,34
Pacifica,"Pacifica, CA, United States",Public garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Awesome motorhome for any occasion,Motorhome,"Do your next adventure the correct way, with this huge motorhome. Have a family? Group of friends? Take them along, they can all fit comfortably! This thing is exactly what you're looking for. Great price, great RV.",(all),,200,2000,35
Pacifica,"Pacifica, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Oldschool trailer,Trailer,"Oldschool RV, looks like a buscuit tin, but is very very comfortable on the inside. This thing is easy to lug around, will be the source of many awesome stories when you get back from your great adventure!",(all),,500,,36
South San Francisco,"South San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Smaller trailer,Trailer,"Very compact, lightweight trailer - fits 2 comfortably, maybe 3 if you squeez. Will work well for short camping trips, or small road trips. Don't pass up this deal!",(all),,1000,,37
San Bruno,"San Bruno, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Motorhome,Motorhome,"Have owned this RV for many years. Family loves it, and we've taken alot of trips in it. Hasn't had much use over the most recent few years, so we decided it's better off to just rent it out!",(all),50,,2000,38
Balboa Park,"Balboa Park, San Francisco, CA, United States",Private garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Great motorhome!,Motorhom,"Great RV! This will take you where you need to go, in style and comfort. Never had a problem with it, has been the source of many awesome road trips with the family. Yours to rent for a very low price.",(all),100,600,2000,39
Balboa Park,"Balboa Park, San Francisco, CA, United States",Private garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Huge trailer!,Trailer,"This thing hooks up to your truck easily, but is MASSIVE. It will fit your family or group of friends easily. Great for long trips, camping, you name it. What are you waiting for? Start your adventure now with this trailer!",(all),100,500,1800,40
Alameda,"Alameda, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Simple motorhome,Motorhome,"Efficient motorhome, has great gas mileage, will fit a family of 4 easily. This thing hasn't been on the road for a number of years, and is ready to see some use. Take her for a spin!",(all),50,500,1500,41
Alameda,"Alameda, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Solid camper,Campervan,"Solid camper. This thing stands up in harsh conditions, will not break down on you, and has amazing gas mileage. This is the RV you have been looking for!",(all),50,300,1100,42
Alameda,"Alameda, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Enormous motorhome,Motorhome,"HUGE motorhome! This thing is a beast! It will take you where you want to go, and then some. Accomodates more people than you probably have in your group. Don't miss out on this awesome deal.",(all),50,700,2800,43
San Louis Obispo,"San Louis Obispo, CA, United States",Private garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Trailer,Trailer,"This trailer hooks up to a truck easily. Take this thing with you on long trips, or camping. You will be so glad when you have a warm bed to crawl into, and a roof over your head. This thing is great to own, but even better to rent!",(all),50,350,1100,44
San Louis Obispo,"San Louis Obispo, CA, United States",Private garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Enormous motorhome,Motorhome,"HUGE motorhome! This thing is a beast! It will take you where you want to go, and then some. Accomodates more people than you probably have in your group. Don't miss out on this awesome deal.",(all),75,700,2000,45
Santa Barbara,"Santa Barbara, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Camping trailer,Trailer,"This thing is awesome for camping. Has a retractable awning, and sets up very easily. Take it to the campground and get everything set up in minutes. Enjoy the rest of your trip with a roof over head.",(all),150,500,2000,46
Santa Barbara,"Santa Barbara, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Huge trailer!,Trailer,"This thing hooks up to your truck easily, but is MASSIVE. It will fit your family or group of friends easily. Great for long trips, camping, you name it. What are you waiting for? Start your adventure now with this trailer!",(all),25,150,500,47
Monterey,"Monterey, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Simple motorhome,Motorhome,"Efficient motorhome, has great gas mileage, will fit a family of 4 easily. This thing hasn't been on the road for a number of years, and is ready to see some use. Take her for a spin!",(all),15,100,400,48
Monterey,"Monterey, CA, United States",Public garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Trailer,Trailer,"This trailer hooks up to a truck easily. Take this thing with you on long trips, or camping. You will be so glad when you have a warm bed to crawl into, and a roof over your head. This thing is great to own, but even better to rent!",(all),50,,2000,49
Monterey,"Monterey, CA, United States",Public garage,"This is a great location, and very easy to find/access. Feel free to stop by any time of day to pick up your RV! I will let you into the garage where we store the vehicle, and you will be on your way in no time! Give me a call when you get here.",Smaller trailer,Trailer,"Very compact, lightweight trailer - fits 2 comfortably, maybe 3 if you squeez. Will work well for short camping trips, or small road trips. Don't pass up this deal!",(all),150,500,2000,50
